carat,cut,color,clarity,depth,table,x,y,z,price
medium,very_good,g,si1,medium,medium,medium,medium,medium,medium
high,good,e,i1,high,medium,high,high,high,high
high,premium,g,i1,low,high,high,high,high,medium
medium,fair,i,vs2,high,low,medium,medium,medium,medium
high,fair,d,si1,low,high,high,high,high,high
low,premium,h,vs2,medium,medium,low,low,low,low
high,good,g,vs1,high,medium,medium,medium,high,high
high,very_good,d,si2,high,high,medium,medium,high,high
medium,ideal,d,vs1,medium,low,medium,medium,medium,medium
low,ideal,j,vs1,medium,low,low,low,low,low
medium,ideal,e,si1,medium,medium,medium,medium,medium,medium
medium,premium,j,si1,medium,high,medium,medium,medium,medium
low,ideal,d,vs2,medium,medium,low,low,low,low
high,good,e,si2,high,high,medium,medium,high,medium
low,premium,e,vs2,medium,high,low,low,low,medium
high,premium,f,vs1,low,medium,high,high,high,high
medium,very_good,e,vs2,medium,medium,medium,medium,medium,medium
medium,good,d,vs2,high,medium,medium,medium,medium,medium
medium,ideal,h,si1,high,medium,medium,medium,high,medium
high,ideal,d,si1,medium,low,high,high,high,high
high,premium,g,vs2,medium,medium,high,high,high,high
low,ideal,g,vvs1,medium,low,low,low,low,low
medium,good,e,si2,high,medium,medium,medium,medium,medium
low,ideal,h,vs1,low,medium,low,low,low,low
low,ideal,f,vs1,low,medium,low,low,low,low
low,good,g,i1,high,medium,low,low,low,low
medium,ideal,g,vs1,low,low,medium,medium,medium,medium
medium,very_good,h,si2,medium,medium,medium,medium,medium,medium
low,ideal,e,vvs2,medium,medium,low,low,low,low
low,ideal,d,vs2,medium,medium,low,low,low,low
high,ideal,h,si1,high,low,high,high,high,high
high,ideal,d,si1,medium,medium,medium,high,high,high
low,very_good,f,vvs2,high,low,low,low,low,low
low,ideal,h,vs2,medium,low,low,low,low,low
high,premium,i,i1,medium,high,high,high,high,high
medium,ideal,i,vvs1,medium,medium,medium,medium,medium,medium
medium,ideal,f,vvs1,medium,medium,medium,medium,medium,medium
medium,premium,g,vvs1,medium,high,medium,medium,medium,medium
medium,premium,i,vvs1,high,medium,medium,medium,medium,medium
high,premium,e,si2,low,high,high,high,high,high
medium,premium,g,vs1,medium,high,medium,medium,medium,medium
low,ideal,g,si2,medium,low,low,low,low,low
high,ideal,f,vs2,medium,low,high,high,high,high
high,ideal,g,vs1,medium,medium,high,high,high,high
high,premium,e,si2,low,high,high,high,high,high
high,very_good,j,si1,medium,high,high,high,high,high
medium,very_good,f,si1,high,high,medium,medium,medium,medium
high,very_good,h,si2,medium,high,high,high,high,high
low,good,g,si2,high,low,low,low,low,low
high,premium,i,si1,medium,medium,high,high,high,medium
high,premium,j,si2,medium,high,high,high,high,high
medium,very_good,d,if,medium,medium,medium,medium,medium,high
high,ideal,h,vs2,medium,medium,high,high,high,high
high,premium,d,vvs2,medium,medium,high,high,high,high
medium,good,e,si2,low,high,medium,medium,medium,medium
high,very_good,e,vs2,high,high,medium,medium,high,high
medium,very_good,e,vs2,medium,medium,medium,medium,medium,medium
medium,ideal,d,si1,medium,low,medium,medium,medium,medium
medium,ideal,d,si1,medium,low,medium,medium,medium,medium
low,premium,g,vs2,low,high,low,low,low,low
low,good,e,vs1,high,high,low,low,low,low
medium,premium,d,vs1,low,medium,medium,medium,medium,high
high,premium,g,vs2,medium,high,high,high,high,high
medium,very_good,h,si1,low,medium,medium,medium,medium,medium
low,ideal,g,si1,medium,low,low,medium,medium,low
high,premium,i,si1,medium,medium,high,high,high,high
medium,very_good,d,si2,low,medium,medium,medium,medium,medium
low,ideal,f,vvs1,medium,medium,low,low,low,medium
low,ideal,e,si1,medium,medium,low,low,low,low
low,ideal,d,vs2,medium,low,low,low,low,medium
medium,ideal,h,si1,medium,medium,high,high,high,high
medium,premium,e,vs2,medium,high,medium,medium,medium,medium
medium,ideal,h,si1,medium,medium,medium,medium,medium,medium
medium,ideal,e,vs2,medium,low,medium,medium,medium,medium
medium,good,e,si1,high,medium,medium,medium,medium,medium
high,ideal,h,si1,medium,low,high,high,high,high
low,very_good,h,vs1,medium,medium,low,low,low,low
high,ideal,h,vs1,low,medium,high,high,high,high
high,good,i,si2,high,medium,medium,high,high,medium
high,very_good,d,si2,medium,medium,high,high,high,high
high,premium,j,si1,medium,low,high,high,high,high
high,ideal,g,vs2,medium,medium,high,high,high,high
high,premium,e,vs1,medium,high,high,high,high,high
low,very_good,h,vvs1,medium,medium,low,low,low,low
medium,ideal,d,si2,medium,medium,medium,medium,medium,medium
high,very_good,e,si2,high,medium,high,high,high,high
high,premium,h,vs1,medium,high,high,high,high,high
high,ideal,f,si1,medium,low,high,high,high,high
high,premium,g,si1,high,medium,high,high,high,high
low,ideal,e,vs1,medium,low,low,low,low,low
low,premium,e,vs1,medium,high,low,low,low,low
high,premium,d,vs2,medium,high,high,medium,high,high
medium,ideal,e,vs1,medium,low,medium,medium,medium,medium
medium,very_good,e,vs2,medium,medium,medium,medium,medium,medium
medium,ideal,j,vs2,medium,low,medium,medium,medium,medium
medium,very_good,g,vs1,high,medium,medium,medium,medium,medium
low,ideal,d,vvs2,medium,medium,low,low,low,medium
low,very_good,h,vvs1,medium,medium,low,low,low,low
medium,very_good,f,vs1,medium,medium,medium,medium,medium,high
low,premium,g,si1,high,medium,low,low,low,low
medium,ideal,g,vvs2,medium,medium,medium,medium,medium,medium
low,ideal,h,vs2,low,medium,low,low,low,low
medium,fair,f,si1,low,high,high,medium,medium,high
low,premium,i,si1,low,high,low,low,low,low
high,good,i,si1,high,medium,high,high,high,high
high,fair,g,i1,high,medium,high,high,high,high
low,very_good,h,vvs1,medium,medium,low,low,low,low
medium,very_good,g,vs1,low,medium,medium,medium,medium,medium
low,very_good,g,vvs1,high,medium,low,low,low,low
low,very_good,g,vs1,high,medium,low,low,low,low
medium,good,e,i1,low,high,medium,medium,medium,medium
high,ideal,e,si2,low,medium,high,high,high,high
medium,very_good,h,si1,high,medium,medium,medium,medium,medium
medium,very_good,e,si1,low,high,medium,medium,medium,medium
high,fair,j,vs2,high,medium,high,high,high,medium
high,ideal,h,si1,medium,medium,high,high,high,high
medium,premium,d,si2,medium,high,medium,medium,medium,medium
medium,premium,f,si1,low,high,medium,medium,medium,medium
medium,very_good,h,si1,low,medium,medium,medium,medium,medium
high,ideal,g,vvs1,low,high,high,high,high,high
high,ideal,h,si2,high,medium,high,high,high,high
high,premium,g,vs1,low,medium,high,high,high,high
high,very_good,j,si2,high,medium,high,medium,high,medium
high,ideal,i,vs2,medium,medium,high,high,high,high
low,ideal,d,vs2,medium,medium,low,low,low,low
medium,ideal,f,vs2,medium,medium,medium,medium,medium,medium
high,good,i,vs2,medium,high,high,high,high,high
high,ideal,h,vs2,low,medium,high,high,high,high
low,very_good,j,vs1,high,medium,low,low,low,low
low,premium,f,vs2,medium,high,low,low,low,low
high,very_good,i,vs1,high,high,high,high,high,high
medium,ideal,f,si2,medium,medium,medium,medium,medium,medium
low,ideal,f,si2,medium,medium,low,low,low,low
low,ideal,d,si1,medium,medium,low,low,low,low
high,ideal,j,si2,medium,low,high,high,high,high
high,very_good,e,si2,low,medium,high,high,high,high
high,very_good,h,vs2,low,high,high,high,high,high
medium,good,e,si2,high,medium,medium,medium,medium,medium
low,ideal,e,vs2,medium,low,low,low,low,low
low,ideal,f,vvs1,medium,medium,low,low,low,low
high,premium,f,vs1,low,high,high,high,high,high
medium,very_good,h,si1,high,medium,medium,medium,medium,medium
low,ideal,j,vvs1,medium,medium,low,low,low,medium
low,ideal,j,vvs2,medium,low,low,low,low,low
low,ideal,d,vs1,medium,medium,low,low,low,medium
high,ideal,g,vvs2,medium,low,high,high,high,high
low,very_good,f,vvs1,medium,medium,low,low,low,low
low,premium,g,vs1,low,high,low,low,low,low
high,good,j,vs2,high,high,high,high,high,high
low,ideal,f,vvs1,low,high,low,low,low,low
low,ideal,g,vvs1,medium,medium,low,low,low,low
medium,very_good,f,si1,high,high,medium,medium,medium,medium
medium,good,e,vs2,low,high,medium,medium,medium,medium
medium,ideal,e,vs2,medium,medium,medium,medium,medium,medium
high,ideal,h,si2,medium,medium,high,high,high,high
high,ideal,h,vs2,medium,low,high,high,high,high
medium,ideal,h,si2,medium,low,medium,medium,medium,medium
high,premium,f,si2,medium,medium,high,medium,high,high
medium,premium,h,vs1,low,medium,medium,medium,medium,medium
medium,premium,h,vs1,medium,medium,medium,medium,medium,medium
high,ideal,g,si1,low,medium,high,high,high,high
low,ideal,e,vs1,medium,low,low,low,low,medium
medium,very_good,f,vvs2,medium,low,medium,medium,medium,medium
high,ideal,g,vs1,medium,low,high,high,high,high
high,good,j,vs2,low,high,high,high,high,high
medium,ideal,i,si1,medium,low,medium,medium,medium,medium
low,very_good,f,si1,high,medium,low,low,low,low
low,good,d,vs2,high,low,low,low,low,low
high,premium,g,si2,medium,medium,high,high,high,high
low,ideal,e,vs2,medium,medium,low,low,low,low
medium,premium,f,si1,medium,medium,medium,medium,medium,medium
medium,good,g,vs1,high,medium,medium,medium,medium,medium
medium,very_good,i,vs2,high,medium,medium,medium,medium,medium
high,very_good,f,si2,low,high,high,high,high,high
medium,ideal,j,si1,high,medium,medium,medium,medium,medium
low,ideal,g,if,medium,low,low,low,low,low
medium,ideal,e,vs1,medium,low,medium,medium,medium,medium
high,good,h,i1,high,high,high,high,high,high
medium,ideal,i,vs2,medium,low,medium,medium,medium,medium
medium,ideal,f,si2,medium,low,medium,medium,medium,medium
high,premium,f,vs1,low,medium,high,high,high,high
high,fair,d,si2,high,low,medium,medium,high,high
high,fair,g,si2,high,low,high,high,high,high
low,ideal,g,vs2,medium,low,low,low,low,low
high,ideal,h,si1,high,low,medium,high,high,high
low,ideal,g,vvs2,medium,low,low,low,low,low
medium,ideal,f,vs2,medium,low,medium,medium,medium,medium
low,very_good,d,vvs2,medium,medium,low,low,low,low
low,ideal,e,vs1,medium,medium,low,medium,low,medium
high,very_good,d,vs2,high,low,medium,medium,high,high
low,premium,d,vs2,medium,medium,low,low,low,low
medium,very_good,i,vs2,low,high,medium,medium,medium,medium
low,premium,g,vs2,medium,medium,low,low,low,low
low,good,h,si1,high,medium,low,low,low,low
high,premium,h,si1,medium,high,high,medium,high,high
low,premium,d,vvs2,medium,medium,low,low,low,medium
high,premium,i,si1,low,high,high,high,high,high
medium,very_good,d,si1,high,medium,medium,medium,medium,medium
low,premium,h,si1,low,high,low,low,low,low
medium,ideal,e,si2,high,medium,medium,medium,medium,medium
low,very_good,f,si2,medium,high,low,low,low,low
high,premium,g,vs2,low,high,high,high,high,high
low,very_good,h,vvs2,medium,medium,low,low,low,low
medium,ideal,e,si2,medium,medium,medium,medium,medium,high
low,premium,e,si1,medium,high,low,low,low,low
medium,premium,g,vs2,low,high,medium,medium,medium,medium
low,premium,h,si1,high,medium,low,low,low,low
low,good,h,si1,high,low,low,low,low,low
low,ideal,f,vvs2,medium,low,low,low,low,medium
high,ideal,h,si1,medium,medium,high,high,high,high
low,very_good,h,si1,low,high,low,low,low,low
medium,very_good,i,vs1,high,medium,medium,medium,medium,medium
medium,very_good,g,vs1,high,low,medium,medium,medium,high
high,ideal,g,vvs2,medium,medium,high,high,high,high
medium,ideal,f,vvs2,medium,low,medium,medium,medium,medium
high,ideal,j,si1,medium,low,high,high,high,high
low,ideal,g,vvs2,medium,medium,low,low,low,low
medium,ideal,d,vs2,medium,medium,medium,medium,medium,medium
high,premium,i,vs2,medium,high,high,high,high,high
low,premium,h,si2,low,high,medium,medium,low,low
medium,very_good,f,si2,medium,high,medium,medium,medium,medium
medium,ideal,i,si2,high,low,medium,medium,high,medium
medium,ideal,d,vs2,medium,low,medium,medium,medium,medium
low,ideal,f,vs2,low,medium,low,low,low,low
medium,good,d,si1,high,high,medium,medium,medium,medium
medium,very_good,f,vvs2,high,medium,medium,medium,medium,medium
medium,very_good,d,vs1,low,medium,medium,medium,medium,medium
low,premium,g,vs1,low,high,low,low,low,low
medium,ideal,d,vs2,low,high,medium,medium,medium,medium
medium,ideal,e,si1,medium,low,medium,medium,medium,high
high,very_good,e,si2,high,high,medium,medium,high,high
medium,very_good,g,si1,high,medium,medium,medium,medium,medium
low,good,f,si1,high,high,low,low,low,low
low,premium,g,si1,medium,high,low,low,low,low
high,ideal,g,si1,low,medium,high,high,high,high
low,ideal,d,si2,medium,low,low,low,low,low
medium,fair,e,si2,high,medium,low,low,medium,low
low,ideal,h,vvs1,medium,low,low,low,low,medium
high,ideal,h,si1,low,high,high,high,high,high
high,ideal,i,vs1,medium,medium,high,high,high,high
low,very_good,h,si1,high,medium,low,low,low,low
medium,ideal,h,vvs2,medium,medium,medium,medium,medium,medium
medium,good,g,vs2,high,low,medium,medium,medium,medium
medium,premium,e,vs2,medium,high,medium,medium,medium,medium
high,very_good,d,si2,high,medium,high,high,high,high
medium,ideal,g,vvs2,medium,low,medium,medium,medium,medium
high,ideal,h,vs1,medium,medium,high,high,high,high
high,very_good,g,si2,medium,medium,high,high,high,high
medium,premium,e,si1,medium,low,medium,medium,medium,medium
high,premium,g,vs2,low,high,high,high,high,high
low,premium,e,vvs2,medium,medium,low,low,low,low
low,good,e,si2,low,high,medium,medium,low,low
low,ideal,d,si2,medium,low,low,low,low,low
